"Table 322.40. Bachelor's degrees conferred to males by postsecondary institutions, by race/ethnicity and field of study: 2015-16 and 2016-17       ",,,,,,,,,,,,,,,,,,,,
Field of study,2015-16,,,,,,,,,,2016-17,,,,,,,,,
,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien
,,,,,Total,Asian,Pacific Islander,,,,,,,,Total,Asian,Pacific Islander,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"   All fields, total ..........................................","821,746","522,834","69,847","92,989","63,182","61,141","2,041","3,822","25,157","43,915","836,045","521,421","70,554","99,331","65,398","63,429","1,969","3,730","27,084","48,527"
Agriculture and natural resources .........................,"17,617","14,559",440,"1,206",518,492,26,110,440,344,"17,816","14,473",454,"1,350",540,513,27,126,476,397
Architecture and related services ..................................,"4,853","2,859",275,737,362,350,12,20,130,470,"4,585","2,614",280,731,335,324,11,13,126,486
"Area, ethnic, cultural, gender, and group studies ...................................","2,225",992,316,439,199,184,15,76,109,94,"2,114",886,299,410,200,186,14,65,128,126
Biological and biomedical sciences .......................................,"45,613","27,300","2,653","5,040","7,434","7,325",109,170,"1,728","1,288","45,515","26,570","2,802","5,431","7,366","7,264",102,170,"1,851","1,325"
Business ......................................................,"196,309","125,515","16,424","20,555","13,505","13,007",498,841,"4,932","14,537","201,886","128,100","16,590","22,197","13,802","13,341",461,834,"5,340","15,023"
,,,,,,,,,,,,,,,,,,,,
"Communication, journalism, and related programs ...........................................","32,441","21,038","4,121","3,838","1,231","1,164",67,111,"1,117",985,"32,478","20,617","4,236","4,066","1,218","1,151",67,110,"1,141","1,090"
Communications technologies .......................................................................,"3,099","1,866",370,401,141,129,12,18,170,133,"2,879","1,631",398,416,149,134,15,16,122,147
Computer and information sciences ......................................,"52,330","31,223","4,474","5,076","6,586","6,434",152,193,"1,679","3,099","57,766","33,255","4,731","5,884","7,871","7,715",156,208,"1,911","3,906"
Construction trades ..................................................,208,160,3,32,4,4,0,0,6,3,133,97,1,31,0,0,0,0,2,2
Education ............................................................,"17,429","13,106","1,677","1,440",443,396,47,136,443,184,"16,067","12,087","1,514","1,370",419,386,33,109,397,171
,,,,,,,,,,,,,,,,,,,,
Engineering ...........................................................,"84,456","53,068","3,203","8,217","9,253","9,129",124,250,"2,487","7,978","90,736","55,877","3,377","9,177","9,844","9,725",119,240,"2,831","9,390"
"Engineering technologies and engineering-related 
   fields\1\ .......................................","14,545","10,033","1,235","1,277",695,673,22,101,291,913,"15,383","10,413","1,239","1,435",646,618,28,100,368,"1,182"
English language and literature/letters ...................................,"12,777","8,973",926,"1,633",534,510,24,65,482,164,"12,247","8,478",959,"1,576",525,505,20,68,454,187
Family and consumer sciences/human sciences .............................,"2,982","1,752",451,341,225,207,18,10,100,103,"3,022","1,660",454,436,221,213,8,19,120,112
"Foreign languages, literatures, and linguistics .................................","5,755","3,665",242,"1,140",315,306,9,26,218,149,"5,561","3,434",222,"1,149",329,320,9,18,240,169
,,,,,,,,,,,,,,,,,,,,
Health professions and related programs .............................,"36,262","22,131","3,937","4,149","4,075","3,897",178,170,"1,050",750,"37,758","22,698","4,046","4,639","4,272","4,101",171,183,"1,150",770
"Homeland security, law enforcement, and firefighting ............................","32,600","19,633","4,942","5,632","1,024",884,140,212,851,306,"31,585","18,531","4,717","5,812","1,032",889,143,197,897,399
Legal professions and studies ..........................................,"1,296",759,172,196,78,77,1,6,50,35,"1,355",802,173,227,76,73,3,15,44,18
