"Table 322.40. Bachelor's degrees conferred to males by postsecondary institutions, by race/ethnicity and field of study: 2011-12 and 2012-13       ",,,,,,,,,,,,,,,,,,,,
Field of study,2011-12,,,,,,,,,,2012-13,,,,,,,,,
,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien
,,,,,Total,Asian,Pacific Islander,,,,,,,,Total,Asian,Pacific Islander,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"   All fields, total ..........................................","765,772","532,463","63,736","67,083","57,521","55,525","1,996","4,476","10,945","29,548","787,231","535,082","67,306","74,043","59,802","57,563","2,239","4,616","14,032","32,350"
Agriculture and natural resources .........................,"15,485","13,314",422,715,513,491,22,117,194,210,"16,618","14,127",418,864,496,463,33,139,300,274
Architecture and related services ..................................,"5,566","3,796",280,679,444,440,4,27,69,271,"5,581","3,685",284,756,446,432,14,22,82,306
"Area, ethnic, cultural, gender, and group studies ...................................","2,757","1,394",379,456,315,296,19,60,80,73,"2,624","1,293",320,419,329,309,20,84,104,75
Biological and biomedical sciences .......................................,"39,542","25,271","2,157","3,115","6,978","6,871",107,222,659,"1,140","41,511","26,175","2,361","3,571","7,174","7,065",109,222,853,"1,155"
Business ......................................................,"190,180","128,354","17,587","16,150","14,322","13,781",541,975,"2,173","10,619","187,789","124,414","17,290","16,828","13,873","13,307",566,979,"2,741","11,664"
,,,,,,,,,,,,,,,,,,,,
"Communication, journalism, and related programs ...........................................","29,921","21,904","3,211","2,471","1,175","1,108",67,137,408,615,"30,147","21,601","3,320","2,698","1,166","1,092",74,145,532,685
Communications technologies .......................................................................,"3,604","2,347",368,445,190,184,6,15,90,149,"3,524","2,214",446,469,152,150,2,20,86,137
Computer and information sciences ......................................,"38,796","25,691","3,768","3,257","3,428","3,313",115,200,577,"1,875","41,874","26,958","4,360","3,621","4,077","3,935",142,218,742,"1,898"
Construction trades ..................................................,359,313,9,23,9,9,0,1,2,2,225,173,6,30,5,3,2,1,9,1
Education ............................................................,"21,714","17,704","1,773","1,194",440,389,51,173,199,231,"21,805","17,461","1,892","1,292",461,415,46,169,296,234
,,,,,,,,,,,,,,,,,,,,
Engineering ...........................................................,"65,819","44,780","2,429","4,942","7,490","7,358",132,246,896,"5,036","69,425","46,194","2,737","5,565","8,213","8,055",158,277,"1,135","5,304"
"Engineering technologies and engineering-related 
   fields\1\ .......................................","14,951","11,208","1,376","1,021",624,603,21,132,154,436,"14,742","10,668","1,414","1,194",624,594,30,149,166,527
English language and literature/letters ...................................,"16,976","13,007","1,058","1,614",745,716,29,104,312,136,"16,515","12,300","1,089","1,759",768,732,36,99,340,160
Family and consumer sciences/human sciences .............................,"2,693","1,746",433,214,188,179,9,15,37,60,"2,872","1,809",429,283,199,187,12,17,59,76
"Foreign languages, literatures, and linguistics .................................","6,629","4,677",252,"1,023",377,365,12,38,138,124,"6,847","4,611",295,"1,164",426,412,14,43,176,132
,,,,,,,,,,,,,,,,,,,,
Health professions and related programs .............................,"24,905","16,411","2,710","2,106","2,664","2,537",127,129,354,531,"28,214","18,310","3,104","2,504","3,050","2,900",150,189,502,555
"Homeland security, law enforcement, and firefighting ............................","27,957","18,392","4,010","3,882",960,858,102,184,378,151,"31,796","20,475","4,784","4,555","1,123","1,013",110,205,467,187
Legal professions and studies ..........................................,"1,389",901,185,163,83,81,2,6,23,28,"1,308",844,197,148,67,66,1,10,31,11
