"Table 322.50. Bachelor's degrees conferred to females by postsecondary institutions, by race/ethnicity and field of study: 2015-16 and 2016-17       ",,,,,,,,,,,,,,,,,,,,
Field of study,2015-16,,,,,,,,,,2016-17,,,,,,,,,
,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien
,,,,,Total,Asian,Pacific Islander,,,,,,,,Total,Asian,Pacific Islander,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"   All fields, total ..........................................","1,099,004","674,489","124,561","142,201","75,075","72,460","2,615","5,913","36,427","40,338","1,119,987","674,586","125,746","152,835","78,680","76,098","2,582","5,852","39,442","42,846"
Agriculture and natural resources .........................,"19,378","14,918",665,"1,716",802,774,28,102,729,446,"19,903","15,104",726,"1,842",841,802,39,124,759,507
Architecture and related services ..................................,"3,972","2,139",194,581,425,422,3,10,143,480,"3,988","2,016",186,624,407,395,12,10,145,600
"Area, ethnic, cultural, gender, and group studies ...................................","5,615","2,478",838,"1,163",514,502,12,112,319,191,"5,606","2,285",843,"1,290",501,477,24,98,391,198
Biological and biomedical sciences .......................................,"68,181","39,284","6,128","7,843","10,129","10,000",129,304,"2,534","1,959","71,244","40,155","6,532","8,707","10,554","10,424",130,285,"2,837","2,174"
Business ......................................................,"175,381","99,125","21,815","22,002","13,710","13,204",506,"1,006","4,847","12,876","179,467","100,706","21,614","23,412","14,243","13,757",486,957,"5,250","13,285"
,,,,,,,,,,,,,,,,,,,,
"Communication, journalism, and related programs ...........................................","60,110","38,322","6,692","7,760","2,517","2,427",90,230,"2,336","2,253","61,300","38,084","6,917","8,434","2,588","2,471",117,186,"2,637","2,454"
Communications technologies .......................................................................,"1,725","1,046",202,185,114,110,4,9,85,84,"1,736",955,228,231,129,125,4,8,78,107
Computer and information sciences ......................................,"12,072","5,810","1,530","1,145","2,029","1,977",52,50,523,985,"13,654","6,237","1,660","1,349","2,554","2,523",31,60,560,"1,234"
Construction trades ..................................................,17,8,2,7,0,0,0,0,0,0,20,6,0,12,1,1,0,0,0,1
Education ............................................................,"69,792","53,886","4,934","6,401","1,697","1,566",131,459,"1,657",758,"69,051","52,601","4,773","6,907","1,853","1,748",105,443,"1,746",728
,,,,,,,,,,,,,,,,,,,,
Engineering ...........................................................,"22,333","12,773","1,064","2,285","3,115","3,078",37,65,913,"2,118","24,904","14,110","1,128","2,694","3,520","3,478",42,61,988,"2,403"
"Engineering technologies and engineering-related 
   fields\1\ .......................................","2,003","1,211",284,221,111,105,6,21,62,93,"2,282","1,352",283,273,132,131,1,19,72,151
English language and literature/letters ...................................,"30,020","20,882","2,530","3,593","1,237","1,190",47,136,"1,234",408,"29,070","19,946","2,299","3,776","1,279","1,236",43,117,"1,266",387
Family and consumer sciences/human sciences .............................,"22,407","14,394","2,750","2,928","1,122","1,088",34,127,698,388,"22,055","13,645","2,767","3,183","1,167","1,125",42,114,770,409
"Foreign languages, literatures, and linguistics .................................","12,681","7,340",671,"2,957",743,733,10,47,568,355,"12,081","6,839",637,"2,925",742,731,11,30,541,367
,,,,,,,,,,,,,,,,,,,,
Health professions and related programs .............................,"192,645","129,055","22,532","19,964","13,417","12,841",576,905,"4,893","1,879","200,256","132,972","23,317","21,742","14,018","13,432",586,"1,015","5,309","1,883"
"Homeland security, law enforcement, and firefighting ............................","28,559","13,384","7,114","6,024",679,564,115,223,907,228,"27,996","12,771","6,827","6,354",665,576,89,243,932,204
Legal professions and studies ..........................................,"2,947","1,639",548,476,135,130,5,22,98,29,"2,917","1,584",486,552,125,121,4,24,112,34
