"Table 322.50. Bachelor's degrees conferred to females by postsecondary institutions, by race/ethnicity and field of study: 2014-15 and 2015-16       ",,,,,,,,,,,,,,,,,,,,
Field of study,2014-15,,,,,,,,,,2015-16,,,,,,,,,
,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien
,,,,,Total,Asian,Pacific Islander,,,,,,,,Total,Asian,Pacific Islander,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"   All fields, total ..........................................","1,082,276","679,653","123,513","131,217","72,836","70,079","2,757","6,141","31,970","36,946","1,098,939","674,539","124,600","142,068","75,061","72,446","2,615","5,914","36,422","40,335"
Agriculture and natural resources .........................,"18,693","14,514",612,"1,513",877,828,49,131,604,442,"19,383","14,922",667,"1,715",802,775,27,103,728,446
Architecture and related services ..................................,"3,974","2,172",179,580,450,443,7,17,129,447,"3,969","2,139",194,580,425,422,3,10,143,478
"Area, ethnic, cultural, gender, and group studies ...................................","5,489","2,457",836,"1,131",501,479,22,108,285,171,"5,613","2,478",838,"1,162",513,501,12,112,319,191
Biological and biomedical sciences .......................................,"64,800","38,014","5,684","7,003","9,758","9,614",144,264,"2,358","1,719","68,170","39,281","6,134","7,834","10,126","9,997",129,304,"2,535","1,956"
Business ......................................................,"172,453","98,803","22,555","20,573","13,200","12,689",511,996,"3,953","12,373","175,382","99,154","21,815","21,974","13,709","13,203",506,"1,006","4,848","12,876"
,,,,,,,,,,,,,,,,,,,,
"Communication, journalism, and related programs ...........................................","58,805","38,464","6,437","7,145","2,461","2,343",118,217,"2,027","2,054","60,115","38,329","6,692","7,759","2,516","2,426",90,230,"2,336","2,253"
Communications technologies .......................................................................,"1,768","1,083",198,185,130,123,7,11,93,68,"1,725","1,046",202,185,114,110,4,9,85,84
Computer and information sciences ......................................,"10,742","5,354","1,577","1,004","1,591","1,541",50,67,365,784,"12,072","5,810","1,530","1,146","2,029","1,977",52,50,523,984
Construction trades ..................................................,18,9,0,3,1,1,0,1,0,4,17,8,2,7,0,0,0,0,0,0
Education ............................................................,"73,129","57,349","5,589","5,921","1,646","1,504",142,533,"1,402",689,"69,790","53,886","4,934","6,400","1,696","1,565",131,459,"1,657",758
,,,,,,,,,,,,,,,,,,,,
Engineering ...........................................................,"19,603","11,452",981,"1,954","2,669","2,635",34,75,686,"1,786","22,334","12,772","1,066","2,286","3,114","3,076",38,65,913,"2,118"
"Engineering technologies and engineering-related 
   fields\1\ .......................................","1,918","1,185",300,192,97,94,3,15,54,75,"2,003","1,211",284,221,111,105,6,21,62,93
English language and literature/letters ...................................,"31,796","22,476","2,646","3,584","1,271","1,220",51,153,"1,243",423,"30,019","20,884","2,533","3,587","1,237","1,190",47,136,"1,234",408
Family and consumer sciences/human sciences .............................,"21,572","14,061","2,732","2,598","1,111","1,078",33,140,596,334,"22,407","14,394","2,750","2,928","1,122","1,088",34,127,698,388
"Foreign languages, literatures, and linguistics .................................","13,427","8,051",677,"2,990",805,790,15,48,521,335,"12,672","7,334",674,"2,952",743,733,10,47,568,354
,,,,,,,,,,,,,,,,,,,,
Health professions and related programs .............................,"182,570","124,339","21,339","17,074","12,846","12,247",599,964,"4,232","1,776","192,635","129,050","22,531","19,960","13,417","12,841",576,905,"4,893","1,879"
"Homeland security, law enforcement, and firefighting ............................","29,083","13,688","7,426","6,029",670,577,93,239,837,194,"28,559","13,386","7,123","6,013",679,564,115,223,907,228
Legal professions and studies ..........................................,"3,072","1,751",569,489,114,106,8,25,90,34,"2,946","1,639",548,477,134,129,5,22,97,29
