"Table 322.50. Bachelor's degrees conferred to females by postsecondary institutions, by race/ethnicity and field of study: 2012-13 and 2013-14       ",,,,,,,,,,,,,,,,,,,,
Field of study,2012-13,,,,,,,,,,2013-14,,,,,,,,,
,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien
,,,,,Total,Asian,Pacific Islander,,,,,,,,Total,Asian,Pacific Islander,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"   All fields, total ..........................................","1,052,973","686,550","123,882","112,610","70,323","67,514","2,809","6,821","20,294","32,493","1,068,122","682,953","123,039","122,115","71,832","68,877","2,955","6,615","27,285","34,283"
Agriculture and natural resources .........................,"16,974","13,521",542,"1,185",862,820,42,146,349,369,"17,867","14,083",606,"1,294",820,766,54,121,537,406
Architecture and related services ..................................,"4,176","2,567",221,501,445,438,7,13,81,348,"3,971","2,356",237,531,385,379,6,13,87,362
"Area, ethnic, cultural, gender, and group studies ...................................","6,227","3,011",828,"1,169",679,648,31,141,256,143,"5,809","2,682",803,"1,144",580,560,20,133,283,184
Biological and biomedical sciences .......................................,"58,841","35,583","5,286","5,314","9,326","9,182",144,318,"1,237","1,777","61,206","36,500","5,341","5,965","9,501","9,330",171,303,"1,904","1,692"
Business ......................................................,"173,044","100,968","25,167","18,595","13,202","12,592",610,"1,099","2,615","11,398","169,661","97,930","22,906","19,362","13,125","12,515",610,"1,112","3,446","11,780"
,,,,,,,,,,,,,,,,,,,,
"Communication, journalism, and related programs ...........................................","54,670","37,822","5,796","5,525","2,486","2,358",128,281,"1,155","1,605","56,649","38,216","6,208","6,201","2,437","2,335",102,250,"1,632","1,705"
Communications technologies .......................................................................,"1,465",953,176,141,90,87,3,2,34,69,"1,572",966,205,145,125,119,6,7,62,62
Computer and information sciences ......................................,"9,087","4,763","1,657",881,"1,028","1,001",27,74,202,482,"9,974","5,164","1,598",917,"1,311","1,272",39,62,286,636
Construction trades ..................................................,19,13,0,6,0,0,0,0,0,0,25,11,1,9,2,2,0,0,1,1
Education ............................................................,"82,874","66,729","6,407","5,874","1,664","1,514",150,556,953,691,"78,501","62,470","5,899","5,943","1,720","1,550",170,597,"1,211",661
,,,,,,,,,,,,,,,,,,,,
Engineering ...........................................................,"16,557","9,929",883,"1,476","2,377","2,339",38,82,339,"1,471","18,259","10,810",962,"1,716","2,510","2,474",36,82,530,"1,649"
"Engineering technologies and engineering-related 
   fields\1\ .......................................","1,751","1,094",270,175,104,99,5,18,20,70,"1,726","1,072",266,176,80,76,4,21,32,79
English language and literature/letters ...................................,"35,893","26,229","3,012","3,551","1,661","1,603",58,181,865,394,"34,595","24,670","2,967","3,733","1,512","1,460",52,167,"1,122",424
Family and consumer sciences/human sciences .............................,"21,058","14,600","2,604","1,984","1,136","1,087",49,124,349,261,"21,708","14,545","2,627","2,418","1,140","1,078",62,165,499,314
"Foreign languages, literatures, and linguistics .................................","14,805","9,526",669,"2,973",848,832,16,75,373,341,"14,069","8,778",660,"3,028",799,776,23,44,451,309
,,,,,,,,,,,,,,,,,,,,
Health professions and related programs .............................,"152,941","106,270","18,957","11,935","10,566","10,067",499,912,"2,513","1,788","167,839","114,741","20,303","14,667","12,025","11,424",601,919,"3,356","1,828"
"Homeland security, law enforcement, and firefighting ............................","28,469","14,052","7,512","5,281",634,539,95,277,536,177,"29,026","14,140","7,491","5,615",658,553,105,217,691,214
Legal professions and studies ..........................................,"3,117","1,869",562,442,135,128,7,20,56,33,"3,057","1,708",561,452,147,142,5,38,84,67
