"Table 322.40. Bachelor's degrees conferred to males by postsecondary institutions, by race/ethnicity and field of study: 2013-14 and 2014-15       ",,,,,,,,,,,,,,,,,,,,
Field of study,2013-14,,,,,,,,,,2014-15,,,,,,,,,
,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien,Total,White,Black,His- panic,Asian/Pacific Islander,,,American Indian/ Alaska Native,Two or more races,Non- resi- dent alien
,,,,,Total,Asian,Pacific Islander,,,,,,,,Total,Asian,Pacific Islander,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
"   All fields, total ..........................................","801,905","536,009","68,290","80,312","59,844","57,614","2,230","4,171","18,137","35,142","812,669","530,595","69,275","86,728","61,113","58,881","2,232","4,066","22,235","38,657"
Agriculture and natural resources .........................,"17,254","14,591",446,969,534,505,29,108,314,292,"17,585","14,724",470,"1,034",536,492,44,121,386,314
Architecture and related services ..................................,"5,174","3,391",275,752,352,344,8,19,80,305,"5,116","3,139",261,798,404,395,9,31,146,337
"Area, ethnic, cultural, gender, and group studies ...................................","2,466","1,147",369,425,263,243,20,58,123,81,"2,293","1,100",299,361,256,233,23,65,133,79
Biological and biomedical sciences .......................................,"43,440","27,321","2,372","4,044","7,223","7,122",101,192,"1,171","1,117","45,102","27,548","2,614","4,571","7,447","7,303",144,175,"1,568","1,179"
Business ......................................................,"188,468","123,533","16,942","18,048","13,349","12,835",514,883,"3,411","12,302","191,310","123,773","16,627","19,439","13,438","12,925",513,836,"4,161","13,036"
,,,,,,,,,,,,,,,,,,,,
"Communication, journalism, and related programs ...........................................","30,974","21,731","3,469","3,006","1,179","1,107",72,130,722,737,"31,851","21,374","3,821","3,581","1,182","1,111",71,121,906,866
Communications technologies .......................................................................,"3,419","2,158",432,469,129,116,13,22,109,100,"3,367","2,026",419,439,174,163,11,18,196,95
Computer and information sciences ......................................,"45,320","28,653","4,321","4,183","4,684","4,531",153,239,"1,058","2,182","48,840","30,156","4,587","4,582","5,376","5,239",137,235,"1,318","2,586"
Construction trades ..................................................,243,187,8,32,11,9,2,1,4,0,229,177,4,40,4,4,0,1,3,0
Education ............................................................,"20,357","16,227","1,767","1,222",448,392,56,127,339,227,"18,473","14,349","1,677","1,302",433,394,39,148,356,208
,,,,,,,,,,,,,,,,,,,,
Engineering ...........................................................,"73,906","48,729","2,724","6,415","8,207","8,056",151,240,"1,663","5,928","78,255","50,479","2,954","7,113","8,586","8,474",112,241,"2,096","6,786"
"Engineering technologies and engineering-related 
   fields\1\ ........................................","14,495","10,226","1,433","1,254",639,608,31,125,237,581,"14,693","10,150","1,326","1,323",638,593,45,136,304,816
English language and literature/letters ...................................,"15,831","11,532","1,103","1,777",700,663,37,93,478,148,"14,053","10,138","1,032","1,600",551,524,27,72,494,166
Family and consumer sciences/human sciences .............................,"3,009","1,850",462,315,224,212,12,16,65,77,"3,012","1,814",456,334,235,228,7,13,86,74
"Foreign languages, literatures, and linguistics .................................","6,266","4,159",249,"1,179",329,314,15,31,188,131,"6,067","4,023",231,"1,055",331,316,15,21,257,149
,,,,,,,,,,,,,,,,,,,,
Health professions and related programs .............................,"30,932","19,686","3,448","2,962","3,455","3,284",171,165,663,553,"33,658","21,118","3,601","3,575","3,714","3,526",188,174,845,631
"Homeland security, law enforcement, and firefighting ............................","33,407","21,239","4,971","4,957","1,142","1,005",137,224,646,228,"33,640","20,819","5,043","5,470","1,116",950,166,218,748,226
Legal professions and studies ..........................................,"1,456",898,210,198,70,67,3,14,27,39,"1,348",850,167,185,64,59,5,12,35,35
